"asv","sample","abundance","id","age_class","sex","side","kingdom","phylum","class","order","fam","genus"
"ASV4","S61",6692,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV18","S18",5301,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV14","S54",4238,"Sheep16","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV58","S60",4132,"Sheep22","Lamb","Female","West","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"ASV4","S37",3946,"Sheep29","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV1","S53",3436,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV12","S52",2904,"Sheep23","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV145","S14",2858,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV2","S12",2726,"Sheep20","Lamb","Female","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV14","S14",2721,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV55","S12",2597,"Sheep20","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"ASV1","S28",2584,"Sheep17","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV55","S35",2528,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"ASV6","S40",2527,"Sheep4","Adult","Male","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV10","S61",2340,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV2","S37",2287,"Sheep29","Lamb","Male","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV3","S28",2274,"Sheep17","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S47",2191,"Sheep19","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV4","S18",2116,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV6","S14",2097,"Sheep24","Lamb","Male","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV1","S44",2063,"Sheep11","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV245","S10",2014,"Sheep6","Adult","Male","East","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV105","S12",1962,"Sheep20","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"ASV1","S18",1886,"Sheep28","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV13","S14",1884,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV1","S45",1871,"Sheep9","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S9",1858,"Sheep5","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV2","S18",1795,"Sheep28","Lamb","Male","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV5","S14",1774,"Sheep24","Lamb","Male","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV80","S18",1725,"Sheep28","Lamb","Male","East","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"ASV4","S45",1720,"Sheep9","Adult","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV10","S59",1700,"Sheep18","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV292","S61",1629,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV6","S59",1626,"Sheep18","Lamb","Female","West","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV1","S54",1625,"Sheep16","Lamb","Male","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV72","S59",1623,"Sheep18","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV1","S10",1618,"Sheep6","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV154","S1",1600,"Sheep8","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV1","S43",1570,"Sheep10","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV12","S35",1567,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV1","S55",1561,"Sheep3","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S56",1550,"Sheep1","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S14",1540,"Sheep24","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S23",1522,"Sheep12","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S1",1502,"Sheep8","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV11","S35",1494,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV67","S18",1468,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV1","S20",1455,"Sheep14","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV7","S18",1454,"Sheep28","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV3","S37",1441,"Sheep29","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV3","S53",1423,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV25","S18",1422,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV12","S53",1408,"Sheep26","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV1","S31",1401,"Sheep25","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S25",1396,"Sheep7","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV4","S14",1373,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV6","S54",1369,"Sheep16","Lamb","Male","West","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV1","S35",1335,"Sheep30","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV311","S40",1323,"Sheep4","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_BS11_gut_group",NA
"ASV11","S18",1313,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV324","S35",1313,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV29","S28",1311,"Sheep17","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV5","S32",1307,"Sheep27","Lamb","Male","West","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV9","S52",1295,"Sheep23","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV10","S40",1279,"Sheep4","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV1","S37",1235,"Sheep29","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV111","S14",1225,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV1","S40",1219,"Sheep4","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S32",1203,"Sheep27","Lamb","Male","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV5","S59",1195,"Sheep18","Lamb","Female","West","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV5","S61",1168,"Sheep21","Lamb","Female","West","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV67","S53",1159,"Sheep26","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV1","S59",1143,"Sheep18","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV29","S32",1138,"Sheep27","Lamb","Male","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV6","S32",1135,"Sheep27","Lamb","Male","West","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV104","S60",1127,"Sheep22","Lamb","Female","West","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"ASV8","S37",1097,"Sheep29","Lamb","Male","East","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"ASV427","S10",1094,"Sheep6","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV8","S54",1092,"Sheep16","Lamb","Male","West","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"ASV1","S52",1089,"Sheep23","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV57","S61",1081,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV20","S28",1078,"Sheep17","Lamb","Female","East","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"ASV178","S32",1071,"Sheep27","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV11","S45",1050,"Sheep9","Adult","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV1","S12",1045,"Sheep20","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV1","S60",1034,"Sheep22","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV55","S37",1029,"Sheep29","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"ASV1","S61",1022,"Sheep21","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV62","S54",1022,"Sheep16","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV18","S14",1020,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV43","S31",1004,"Sheep25","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV3","S9",1003,"Sheep5","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV11","S40",991,"Sheep4","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV485","S10",988,"Sheep6","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV1","S6",967,"Sheep2","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV103","S53",966,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV9","S28",950,"Sheep17","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV32","S61",949,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV9","S47",948,"Sheep19","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV3","S54",945,"Sheep16","Lamb","Male","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV32","S14",942,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV2","S9",932,"Sheep5","Adult","Male","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV12","S60",929,"Sheep22","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV191","S32",924,"Sheep27","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV3","S18",916,"Sheep28","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV9","S12",913,"Sheep20","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV4","S54",907,"Sheep16","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV1","S21",892,"Sheep15","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV3","S44",890,"Sheep11","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV85","S14",888,"Sheep24","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1"
"ASV2","S47",886,"Sheep19","Lamb","Male","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV3","S10",885,"Sheep6","Adult","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV62","S59",880,"Sheep18","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV2","S25",877,"Sheep7","Adult","Female","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV8","S44",876,"Sheep11","Adult","Female","West","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"ASV1","S8",869,"Sheep13","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV3","S45",866,"Sheep9","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV56","S45",862,"Sheep9","Adult","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV6","S47",861,"Sheep19","Lamb","Male","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV7","S53",855,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV32","S45",848,"Sheep9","Adult","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV6","S23",848,"Sheep12","Adult","Female","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV10","S60",845,"Sheep22","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV8","S35",842,"Sheep30","Lamb","Female","West","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"ASV3","S23",834,"Sheep12","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV9","S9",834,"Sheep5","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV252","S45",832,"Sheep9","Adult","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","p-2534-18B5_gut_group",NA
"ASV3","S25",832,"Sheep7","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV8","S53",832,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium"
"ASV67","S61",830,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV4","S9",829,"Sheep5","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV12","S45",828,"Sheep9","Adult","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV6","S43",820,"Sheep10","Adult","Male","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV3","S47",819,"Sheep19","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV426","S53",819,"Sheep26","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group"
"ASV42","S54",816,"Sheep16","Lamb","Male","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV11","S14",814,"Sheep24","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-004"
"ASV156","S60",808,"Sheep22","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV10","S18",807,"Sheep28","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV81","S35",801,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV30","S52",791,"Sheep23","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter"
"ASV18","S9",788,"Sheep5","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003"
"ASV89","S32",788,"Sheep27","Lamb","Male","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV2","S55",783,"Sheep3","Adult","Female","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV29","S53",773,"Sheep26","Lamb","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA
"ASV3","S12",773,"Sheep20","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV39","S37",772,"Sheep29","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group"
"ASV119","S28",765,"Sheep17","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA
"ASV10","S43",751,"Sheep10","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV14","S1",751,"Sheep8","Adult","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV2","S10",750,"Sheep6","Adult","Male","East","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV215","S53",750,"Sheep26","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV10","S47",749,"Sheep19","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV10","S9",749,"Sheep5","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV35","S12",745,"Sheep20","Lamb","Female","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV7","S45",745,"Sheep9","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV2","S61",739,"Sheep21","Lamb","Female","West","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV215","S37",739,"Sheep29","Lamb","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group"
"ASV59","S8",739,"Sheep13","Adult","Female","East","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
"ASV98","S35",738,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV10","S44",736,"Sheep11","Adult","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV212","S9",736,"Sheep5","Adult","Male","East","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_1"
"ASV3","S31",734,"Sheep25","Lamb","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV2","S32",731,"Sheep27","Lamb","Male","West","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV297","S45",729,"Sheep9","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1"
"ASV3","S55",728,"Sheep3","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV3","S20",727,"Sheep14","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV32","S44",721,"Sheep11","Adult","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001"
"ASV10","S35",720,"Sheep30","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV12","S61",720,"Sheep21","Lamb","Female","West","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV7","S14",714,"Sheep24","Lamb","Male","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV7","S44",713,"Sheep11","Adult","Female","West","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005"
"ASV331","S25",712,"Sheep7","Adult","Female","East","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010"
