"asv","sample","clr","meas_var","phylum","abundance","id","age_class","sex"
"ASV10","S55",7.49369862445308,0.0115081221311153,"Bacteroidetes",580,"Sheep3","Adult","Female"
"ASV10","S56",7.65307553290231,0.0197261966129968,"Bacteroidetes",213,"Sheep1","Adult","Female"
"ASV10","S59",10.4406198311478,0.00901018854265969,"Bacteroidetes",1700,"Sheep18","Lamb","Female"
"ASV10","S6",6.95571179392655,0.0154813679236727,"Bacteroidetes",321,"Sheep2","Adult","Female"
"ASV10","S60",10.0593739769998,0.0117860843897587,"Bacteroidetes",845,"Sheep22","Lamb","Female"
"ASV10","S61",10.8125235840032,0.00910267410310029,"Bacteroidetes",2340,"Sheep21","Lamb","Female"
"ASV10","S8",7.35281397837781,0.0079758481208964,"Bacteroidetes",535,"Sheep13","Adult","Female"
"ASV10","S9",8.06736978965355,0.010582714552211,"Bacteroidetes",749,"Sheep5","Adult","Male"
"ASV100","S1",4.59564227217915,0.0454026026800013,"Firmicutes",61,"Sheep8","Adult","Female"
"ASV100","S10",4.0990679879117,0.0888863920232774,"Firmicutes",23,"Sheep6","Adult","Male"
"ASV100","S12",-2.90791745699579,9.63491101246385,"Firmicutes",0,"Sheep20","Lamb","Female"
"ASV100","S14",4.98345766636153,0.0785422007220662,"Firmicutes",30,"Sheep24","Lamb","Male"
"ASV100","S18",-2.40015253316731,7.06217799110972,"Firmicutes",0,"Sheep28","Lamb","Male"
"ASV100","S20",4.95667480735194,0.0344905760313015,"Firmicutes",93,"Sheep14","Adult","Female"
"ASV100","S21",4.70512033346398,0.0304103045566811,"Firmicutes",85,"Sheep15","Adult","Male"
"ASV100","S23",3.7342919984539,0.0521214033554481,"Firmicutes",41,"Sheep12","Adult","Female"
"ASV100","S25",5.21820608135308,0.0250610166737377,"Firmicutes",98,"Sheep7","Adult","Female"
"ASV100","S28",6.62107135034191,0.0245942159617312,"Firmicutes",134,"Sheep17","Lamb","Female"
"ASV100","S31",5.67006147498783,0.02398737970169,"Firmicutes",123,"Sheep25","Lamb","Female"
"ASV100","S32",6.40285527996251,0.0349822067924058,"Firmicutes",74,"Sheep27","Lamb","Male"
"ASV100","S35",7.46533417022473,0.0198775177667683,"Firmicutes",174,"Sheep30","Lamb","Female"
"ASV100","S37",5.05076956208539,0.0269854835217373,"Firmicutes",66,"Sheep29","Lamb","Male"
"ASV100","S40",5.45349500759857,0.0353685610017611,"Firmicutes",106,"Sheep4","Adult","Male"
"ASV100","S43",5.39989933392016,0.030112809393626,"Firmicutes",90,"Sheep10","Adult","Male"
"ASV100","S44",5.18785878767524,0.0203716453446199,"Firmicutes",135,"Sheep11","Adult","Female"
"ASV100","S45",6.11397417892329,0.026052666640691,"Firmicutes",116,"Sheep9","Adult","Female"
"ASV100","S47",-3.39584216748741,9.97727151340246,"Firmicutes",0,"Sheep19","Lamb","Male"
"ASV100","S52",-3.0416327814449,9.68434930477285,"Firmicutes",0,"Sheep23","Lamb","Male"
"ASV100","S53",-3.02151154632069,13.3679456238782,"Firmicutes",0,"Sheep26","Lamb","Female"
"ASV100","S54",5.76552987727428,0.030644116836787,"Firmicutes",87,"Sheep16","Lamb","Male"
"ASV100","S55",5.25908968419407,0.0243678782745545,"Firmicutes",122,"Sheep3","Adult","Female"
"ASV100","S56",6.954872864278,0.0251984617552677,"Firmicutes",131,"Sheep1","Adult","Female"
"ASV100","S59",-3.5135878709513,10.8453504331922,"Firmicutes",0,"Sheep18","Lamb","Female"
"ASV100","S6",-4.15623785414216,9.45709830349227,"Firmicutes",0,"Sheep2","Adult","Female"
"ASV100","S60",5.49265721213277,0.0626640960863997,"Firmicutes",36,"Sheep22","Lamb","Female"
"ASV100","S61",-3.70699375472619,12.1781198865116,"Firmicutes",0,"Sheep21","Lamb","Female"
"ASV100","S8",4.6483002135896,0.0322014119527849,"Firmicutes",81,"Sheep13","Adult","Female"
"ASV100","S9",5.27988085185298,0.0282573761031231,"Firmicutes",108,"Sheep5","Adult","Male"
"ASV1001","S1",-4.18681513731695,9.51948283326297,"Firmicutes",0,"Sheep8","Adult","Female"
"ASV1001","S10",-2.94769297857061,10.0672806597657,"Firmicutes",0,"Sheep6","Adult","Male"
"ASV1001","S12",-3.6769755176271,13.9081334689647,"Firmicutes",0,"Sheep20","Lamb","Female"
"ASV1001","S14",-2.63194881012996,10.6433113428062,"Firmicutes",0,"Sheep24","Lamb","Male"
"ASV1001","S18",-2.88482800727568,10.0704879727579,"Firmicutes",0,"Sheep28","Lamb","Male"
"ASV1001","S20",-4.11424575368705,10.2093577207636,"Firmicutes",0,"Sheep14","Adult","Female"
"ASV1001","S21",-4.77229293978521,9.33173402597198,"Firmicutes",0,"Sheep15","Adult","Male"
"ASV1001","S23",-4.44154926485556,13.3146612865952,"Firmicutes",0,"Sheep12","Adult","Female"
"ASV1001","S25",-4.74525264089348,10.3172456017127,"Firmicutes",0,"Sheep7","Adult","Female"
"ASV1001","S28",-3.17304970873636,9.39976758964416,"Firmicutes",0,"Sheep17","Lamb","Female"
"ASV1001","S31",-3.89936017111039,10.0262617788787,"Firmicutes",0,"Sheep25","Lamb","Female"
"ASV1001","S32",-2.57281978106816,7.78612996452698,"Firmicutes",0,"Sheep27","Lamb","Male"
"ASV1001","S35",-3.18550143283999,13.8626652702241,"Firmicutes",0,"Sheep30","Lamb","Female"
"ASV1001","S37",-3.66110335922853,8.90890688404144,"Firmicutes",0,"Sheep29","Lamb","Male"
"ASV1001","S40",-3.79512188691433,7.76027846745807,"Firmicutes",0,"Sheep4","Adult","Male"
"ASV1001","S43",-3.86477054536228,11.2365688871818,"Firmicutes",0,"Sheep10","Adult","Male"
"ASV1001","S44",-4.86135123305176,10.0558502155959,"Firmicutes",0,"Sheep11","Adult","Female"
"ASV1001","S45",7.74035090530728,0.013590845666975,"Firmicutes",359,"Sheep9","Adult","Female"
"ASV1001","S47",-3.34765689163083,8.42054102521361,"Firmicutes",0,"Sheep19","Lamb","Male"
"ASV1001","S52",-3.02482483226968,11.9208306120972,"Firmicutes",0,"Sheep23","Lamb","Male"
"ASV1001","S53",-2.80880150253647,10.3539133366062,"Firmicutes",0,"Sheep26","Lamb","Female"
"ASV1001","S54",-3.74219682349091,10.533703840568,"Firmicutes",0,"Sheep16","Lamb","Male"
"ASV1001","S55",-4.37121663926335,9.25513144582243,"Firmicutes",0,"Sheep3","Adult","Female"
"ASV1001","S56",-2.92582780417099,9.75097913316759,"Firmicutes",0,"Sheep1","Adult","Female"
"ASV1001","S59",-3.53078383624508,12.6441490613861,"Firmicutes",0,"Sheep18","Lamb","Female"
"ASV1001","S6",-4.02770583099294,11.0240303959119,"Firmicutes",0,"Sheep2","Adult","Female"
"ASV1001","S60",-2.25028264449682,7.93336933291164,"Firmicutes",0,"Sheep22","Lamb","Female"
"ASV1001","S61",-2.72866197647607,7.16446572022729,"Firmicutes",0,"Sheep21","Lamb","Female"
"ASV1001","S8",-4.89418052023678,10.816988894277,"Firmicutes",0,"Sheep13","Adult","Female"
"ASV1001","S9",-4.55010325708174,13.5548220630374,"Firmicutes",0,"Sheep5","Adult","Male"
"ASV1003","S1",-4.06311288306104,10.5524006203982,"Bacteroidetes",0,"Sheep8","Adult","Female"
"ASV1003","S10",-3.26713270258248,9.18620536294268,"Bacteroidetes",0,"Sheep6","Adult","Male"
"ASV1003","S12",-2.96294585901145,7.51577238445596,"Bacteroidetes",0,"Sheep20","Lamb","Female"
"ASV1003","S14",-2.8443538066103,8.41138636412483,"Bacteroidetes",0,"Sheep24","Lamb","Male"
"ASV1003","S18",-2.70136325042796,11.0205917770287,"Bacteroidetes",0,"Sheep28","Lamb","Male"
"ASV1003","S20",-4.06674183966823,7.51076758247011,"Bacteroidetes",0,"Sheep14","Adult","Female"
"ASV1003","S21",-4.58849878919089,8.40811124000805,"Bacteroidetes",0,"Sheep15","Adult","Male"
"ASV1003","S23",-4.36953096814806,13.7930173376018,"Bacteroidetes",0,"Sheep12","Adult","Female"
"ASV1003","S25",-4.09532153608847,10.0726969697144,"Bacteroidetes",0,"Sheep7","Adult","Female"
"ASV1003","S28",-2.8419395635182,7.72366845928293,"Bacteroidetes",0,"Sheep17","Lamb","Female"
"ASV1003","S31",-3.83959639432646,9.13378844951813,"Bacteroidetes",0,"Sheep25","Lamb","Female"
"ASV1003","S32",-2.75966818764143,11.9370257163692,"Bacteroidetes",0,"Sheep27","Lamb","Male"
"ASV1003","S35",-3.26780272215123,10.8326938519292,"Bacteroidetes",0,"Sheep30","Lamb","Female"
"ASV1003","S37",-3.74713285816095,12.3416927184588,"Bacteroidetes",0,"Sheep29","Lamb","Male"
"ASV1003","S40",-4.48753685420917,11.0425800078456,"Bacteroidetes",0,"Sheep4","Adult","Male"
"ASV1003","S43",-3.83882872769761,9.05342135218648,"Bacteroidetes",0,"Sheep10","Adult","Male"
"ASV1003","S44",-5.02520038568868,11.849543841384,"Bacteroidetes",0,"Sheep11","Adult","Female"
"ASV1003","S45",-3.29692695532436,8.78584262146255,"Bacteroidetes",0,"Sheep9","Adult","Female"
"ASV1003","S47",-3.02651830144648,9.81434383880175,"Bacteroidetes",0,"Sheep19","Lamb","Male"
"ASV1003","S52",-2.89818091988245,11.0163529296113,"Bacteroidetes",0,"Sheep23","Lamb","Male"
"ASV1003","S53",8.08577911631137,0.0162898306675263,"Bacteroidetes",264,"Sheep26","Lamb","Female"
"ASV1003","S54",-3.43665536988267,9.4301336075419,"Bacteroidetes",0,"Sheep16","Lamb","Male"
"ASV1003","S55",-4.56349673227156,9.88602653861279,"Bacteroidetes",0,"Sheep3","Adult","Female"
"ASV1003","S56",-3.25888649370413,9.79449971184837,"Bacteroidetes",0,"Sheep1","Adult","Female"
"ASV1003","S59",-2.674637034144,8.65038478482131,"Bacteroidetes",0,"Sheep18","Lamb","Female"
"ASV1003","S6",-4.08678213385779,8.72784348092903,"Bacteroidetes",0,"Sheep2","Adult","Female"
"ASV1003","S60",-2.55893480859047,12.0373167159387,"Bacteroidetes",0,"Sheep22","Lamb","Female"
"ASV1003","S61",-3.34461124537247,10.9251717759516,"Bacteroidetes",0,"Sheep21","Lamb","Female"
"ASV1003","S8",-4.48400476630639,11.1008347425769,"Bacteroidetes",0,"Sheep13","Adult","Female"
"ASV1003","S9",-4.28894983543716,9.83633345133586,"Bacteroidetes",0,"Sheep5","Adult","Male"
"ASV101","S1",-4.14150077581292,9.03540280843374,"Bacteroidetes",0,"Sheep8","Adult","Female"
"ASV101","S10",3.89848930317352,0.118148909057147,"Bacteroidetes",20,"Sheep6","Adult","Male"
"ASV101","S12",-2.8270203469302,9.65212310557068,"Bacteroidetes",0,"Sheep20","Lamb","Female"
"ASV101","S14",-2.7824239865104,11.3132924917168,"Bacteroidetes",0,"Sheep24","Lamb","Male"
"ASV101","S18",-2.87261257277875,13.8641186239873,"Bacteroidetes",0,"Sheep28","Lamb","Male"
"ASV101","S20",-4.62724262329894,11.5014462854512,"Bacteroidetes",0,"Sheep14","Adult","Female"
"ASV101","S21",2.66565573908339,0.133275214943427,"Bacteroidetes",21,"Sheep15","Adult","Male"
"ASV101","S23",-4.64883085843761,12.7423386494547,"Bacteroidetes",0,"Sheep12","Adult","Female"
"ASV101","S25",-4.05379334220025,12.4852042960756,"Bacteroidetes",0,"Sheep7","Adult","Female"
"ASV101","S28",-3.73884138093265,9.98536935592712,"Bacteroidetes",0,"Sheep17","Lamb","Female"
"ASV101","S31",-3.73784174056348,6.95183331167983,"Bacteroidetes",0,"Sheep25","Lamb","Female"
"ASV101","S32",-2.18472582434319,6.78056338235038,"Bacteroidetes",0,"Sheep27","Lamb","Male"
"ASV101","S35",-2.92791407136247,10.7435982407803,"Bacteroidetes",0,"Sheep30","Lamb","Female"
"ASV101","S37",-3.6761826562914,9.50401940687058,"Bacteroidetes",0,"Sheep29","Lamb","Male"
"ASV101","S40",4.86472538625618,0.035267068382844,"Bacteroidetes",69,"Sheep4","Adult","Male"
"ASV101","S43",-3.71496181309132,9.82384249292157,"Bacteroidetes",0,"Sheep10","Adult","Male"
"ASV101","S44",-4.22348276788238,6.78380327305655,"Bacteroidetes",0,"Sheep11","Adult","Female"
"ASV101","S45",-3.32668460771604,7.94436400713387,"Bacteroidetes",0,"Sheep9","Adult","Female"
"ASV101","S47",-3.58684907314462,13.4434209122366,"Bacteroidetes",0,"Sheep19","Lamb","Male"
"ASV101","S52",-3.10347811695699,9.44602271113775,"Bacteroidetes",0,"Sheep23","Lamb","Male"
"ASV101","S53",-2.61944169869118,8.99190369614251,"Bacteroidetes",0,"Sheep26","Lamb","Female"
"ASV101","S54",-2.99092831922863,7.88719791954789,"Bacteroidetes",0,"Sheep16","Lamb","Male"
"ASV101","S55",-4.6612906690276,10.0799978803714,"Bacteroidetes",0,"Sheep3","Adult","Female"
"ASV101","S56",-3.02267707949391,9.13700876695126,"Bacteroidetes",0,"Sheep1","Adult","Female"
"ASV101","S59",-2.76486777652104,8.96613927307305,"Bacteroidetes",0,"Sheep18","Lamb","Female"
"ASV101","S6",3.4910187095095,0.090105654806255,"Bacteroidetes",29,"Sheep2","Adult","Female"
"ASV101","S60",-2.99251948187688,11.6549999221555,"Bacteroidetes",0,"Sheep22","Lamb","Female"
"ASV101","S61",-2.50583600379455,6.51176495035718,"Bacteroidetes",0,"Sheep21","Lamb","Female"
"ASV101","S8",5.12239152909848,0.0251944815371767,"Bacteroidetes",114,"Sheep13","Adult","Female"
"ASV101","S9",-4.10498133277554,9.95626091346613,"Bacteroidetes",0,"Sheep5","Adult","Male"
"ASV1014","S1",-3.97007656643232,8.03845630770845,"Firmicutes",0,"Sheep8","Adult","Female"
"ASV1014","S10",-3.37600310591744,11.2231092802107,"Firmicutes",0,"Sheep6","Adult","Male"
"ASV1014","S12",4.50562177805137,0.0887252695709085,"Firmicutes",28,"Sheep20","Lamb","Female"
"ASV1014","S14",-3.02887311262364,12.3275364518235,"Firmicutes",0,"Sheep24","Lamb","Male"
"ASV1014","S18",-2.99177780424798,13.0668307193413,"Firmicutes",0,"Sheep28","Lamb","Male"
"ASV1014","S20",3.81701176816621,0.0586822916008092,"Firmicutes",42,"Sheep14","Adult","Female"
"ASV1014","S21",3.19114846383332,0.073302521203398,"Firmicutes",30,"Sheep15","Adult","Male"
